Stage,hours_per_week ,academic_stress,choosing_new_courses_decision ,Mng_academic_tasks,struggle_with_managing ,challenges_handling_workload, start_assignments_closer_deadline,Skill_Programming,Skill_Math,Skill_DS_Algo,Skill_Technical_Comm,Skill_Web_Development,Grade_CM1601,Grade_CM1602,Grade_CM1603,Grade_CM1604,Grade_CM1605,Grade_CM1606,Grade_CM2601,Grade_CM2602,Grade_CM2603,Grade_CM2604,Grade_CM2605,Grade_CM2606,Grade_CM2607,Grade_CM3606,Grade_CM3604,Grade_CM3602,Grade_CM3603,Grade_CM4605,Grade_CM4604,Grade_CM4601,Grade_CM4606,Grade_CM4603,Year1_GPA,Year2_GPA,Year3_GPA,Year4_GPA
Stage 3,5 - 10 hrs,3,Career or job relevance,Notes on phone or paper,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,4,5,2.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,2.875,2.25,0.0
Stage 2,Less than 3hrs,4,Career or job relevance,Notes on phone or paper,Rarely,Not knowing how to prioritize task;Starting tasks too late,Sometimes,4,2,3,3,2,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.375,0.0,0.0
Stage 3,15+ hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Starting tasks too late,Sometimes,4,3,4,4,2,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,2.25,2.125,0.0
Stage 1,Less than 3hrs,1,Career or job relevance,To-do list or planner apps,Sometimes,Not knowing how to prioritize task,Always,4,3,4,5,4,3.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,0.0,0.0,0.0
Stage 2,3 - 5 hrs,4,Personal interest in the subject,I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,2,3,3,4,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.5,0.0,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Sometimes,Balancing multiple courses or projects,Sometimes,4,4,4,5,4,3.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,2.5,2.125,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,5,4,5,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.25,2.875,2.125,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Often,Starting tasks too late,Always,3,3,3,3,4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,1.0,0.0,0.0
Stage 3,3 - 5 hrs,3,Career or job relevance,To-do list or planner apps,Sometimes,Not knowing how to prioritize task,Sometimes,4,3,4,4,4,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.25,1.75,2.25,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Always,4,4,2,5,5,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.125,3.0,2.125,0.0
Stage 3,15+ hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,4,5,4,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.75,2.625,2.25,0.0
Stage 3,3 - 5 hrs,4,Career or job relevance,Notes on phone or paper,Sometimes,Starting tasks too late,Always,3,3,3,3,4,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.0,2.125,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Often,Balancing multiple courses or projects,Sometimes,4,2,4,4,3,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.875,2.125,0.0
Stage 3,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,3,4,3,4,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,2.5,1.5,0.0
Stage 1,3 - 5 hrs,3,Career or job relevance,Notes on phone or paper,Sometimes,Not knowing how to prioritize task,Sometimes,4,5,3,3,5,1.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Stage 3,15+ hrs,3,Career or job relevance,To-do list or planner apps,Sometimes,Balancing multiple courses or projects,Sometimes,4,3,4,4,4,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.625,3.0,2.125,0.0
Stage 2,15+ hrs,3,Personal interest in the subject,To-do list or planner apps,Always,Balancing multiple courses or projects,Sometimes,4,4,4,5,5,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,2.375,0.0,0.0
Stage 1,Less than 3hrs,3,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Sometimes,3,2,3,3,4,1.0,3.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Often,Not knowing how to prioritize task,Sometimes,3,4,4,3,4,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.375,0.0,0.0
Stage 3,5 - 10 hrs,1,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,5,3,4,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.875,2.25,0.0
Stage 1,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,4,4,3.0,3.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0
Stage 4,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,4,4,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,2.875,2.875,2.25,2.125
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,3,4,5,5,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.125,2.875,2.125,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Often,Starting tasks too late,Always,3,3,3,3,4,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.125,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,3,3,3,4,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.0,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,Notes on phone or paper,Sometimes,Not knowing how to prioritize task,Always,3,3,2,3,4,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.5,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,3,3,3,5,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,0.0,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,I usually remember them mentally,Rarely,Forgetting deadlines or exam dates;Not knowing how to prioritize task;Balancing multiple courses or projects;Starting tasks too late,Sometimes,4,4,5,5,4,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.875,2.875,2.25,0.0
Stage 2,Less than 3hrs,3,Career or job relevance,To-do list or planner apps,Sometimes,Starting tasks too late,Sometimes,5,3,4,5,4,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.75,0.0,0.0
Stage 1,5 - 10 hrs,3,Career or job relevance,I usually remember them mentally,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,2,4,3.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0
Stage 2,3 - 5 hrs,3,Career or job relevance,I usually remember them mentally,Often,Starting tasks too late,Sometimes,3,3,4,3,5,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.75,0.0,0.0
Stage 3,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,4,4,5,3.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.875,2.75,2.25,0.0
Stage 3,15+ hrs,3,Career or job relevance,I usually remember them mentally,Always,Starting tasks too late,Sometimes,3,2,3,3,4,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.375,2.125,0.0
Stage 3,Less than 3hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,3,5,5,5,2.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.125,3.0,2.375,0.0
Stage 1,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Not knowing how to prioritize task;Starting tasks too late,Sometimes,4,4,4,3,4,2.0,4.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,0.0,0.0,0.0
Stage 2,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Always,Balancing multiple courses or projects,Always,4,3,2,3,4,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.25,0.0,0.0
Stage 3,3 - 5 hrs,3,Career or job relevance,To-do list or planner apps;I usually remember them mentally,Sometimes,Starting tasks too late,Always,4,3,2,3,4,1.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.375,1.375,0.0
Stage 1,3 - 5 hrs,4,Career or job relevance,Notes on phone or paper,Sometimes,Starting tasks too late,Always,3,2,3,3,4,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Stage 4,3 - 5 hrs,3,Personal interest in the subject,I usually remember them mentally,Rarely,Forgetting deadlines or exam dates;Not knowing how to prioritize task;Balancing multiple courses or projects;Starting tasks too late,Sometimes,4,4,2,3,5,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,4.0,2.875,2.375,1.5,2.25
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,5,2,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,3.25,2.125,0.0
Stage 2,15+ hrs,3,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Sometimes,4,3,3,3,5,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,1.25,0.0,0.0
Stage 4,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,5,4,5,3,5,2.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,2.5,2.0,2.5,2.125
Stage 3,15+ hrs,3,Career or job relevance,To-do list or planner apps,Sometimes,Starting tasks too late,Sometimes,3,3,2,4,5,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,2.25,2.25,0.0
Stage 4,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,5,4,4,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,0.0,2.375,2.75,2.25,2.25
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Sometimes,Balancing multiple courses or projects,Sometimes,4,5,5,4,5,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.25,2.25,2.125,0.0
Stage 4,Less than 3hrs,3,Career or job relevance,To-do list or planner apps,Often,Balancing multiple courses or projects,Sometimes,4,5,5,4,4,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,3.25,3.0,2.25,2.25
Stage 1,15+ hrs,3,Career or job relevance,To-do list or planner apps,Always,Starting tasks too late,Sometimes,4,4,4,4,5,2.0,2.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0
Stage 4,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,3,5,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,3.0,2.375,3.0,2.25
Stage 2,3 - 5 hrs,5,Career or job relevance,To-do list or planner apps,Sometimes,Starting tasks too late,Always,3,3,3,3,4,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.25,0.0,0.0
Stage 2,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Always,Balancing multiple courses or projects,Sometimes,4,2,2,3,4,4.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.875,0.0,0.0
Stage 2,Less than 3hrs,4,Career or job relevance,Notes on phone or paper,Always,Starting tasks too late,Sometimes,4,3,4,3,4,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,1.5,0.0,0.0
Stage 4,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,3,4,4,4,4,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,4.0,3.125,2.875,2.125,2.25
Stage 2,Less than 3hrs,3,Career or job relevance,Notes on phone or paper,Sometimes,Starting tasks too late,Always,3,2,3,3,4,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.0,0.0,0.0
Stage 1,3 - 5 hrs,4,Career or job relevance,Notes on phone or paper,Always,Starting tasks too late,Always,3,3,3,3,4,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0
Stage 1,5 - 10 hrs,3,Career or job relevance,I usually remember them mentally,Rarely,Not knowing how to prioritize task,Sometimes,4,4,3,3,5,1.0,3.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0
Stage 2,5 - 10 hrs,3,Career or job relevance;Recommendations from friends or seniors,To-do list or planner apps,Always,Balancing multiple courses or projects,Sometimes,4,3,5,2,5,2.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,1.375,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,2,3,3,4,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0
Stage 3,5 - 10 hrs,3,Career or job relevance,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Rarely/Never,4,4,5,4,2,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.125,2.25,0.0
Stage 3,Less than 3hrs,1,Career or job relevance,I usually remember them mentally,Always,Not knowing how to prioritize task;Starting tasks too late,Rarely/Never,3,3,3,3,5,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.875,1.875,2.125,0.0
Stage 2,Less than 3hrs,4,Career or job relevance,Notes on phone or paper,Rarely,Starting tasks too late,Sometimes,3,3,3,5,4,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,1.125,0.0,0.0
Stage 3,5 - 10 hrs,3,Career or job relevance;Recommendations from friends or seniors,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,4,5,3,4,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,3.625,2.25,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,3,3,5,4,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,2.375,2.25,0.0
Stage 1,Less than 3hrs,3,Personal interest in the subject,To-do list or planner apps,Sometimes,Balancing multiple courses or projects,Sometimes,4,4,3,3,4,2.0,3.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0
Stage 4,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,5,4,5,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,4.0,3.125,2.75,2.125,2.25
Stage 1,5 - 10 hrs,3,Career or job relevance,I usually remember them mentally,Often,Starting tasks too late,Always,4,4,2,3,4,2.0,3.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,0.0,0.0,0.0
Stage 1,3 - 5 hrs,4,Career or job relevance,To-do list or planner apps;I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,3,3,3,4,1.0,3.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
Stage 2,3 - 5 hrs,3,Career or job relevance,To-do list or planner apps,Sometimes,Starting tasks too late,Always,4,3,2,3,4,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.125,0.0,0.0
Stage 3,5 - 10 hrs,3,Personal interest in the subject,To-do list or planner apps,Rarely,Balancing multiple courses or projects,Sometimes,4,5,4,4,5,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.375,2.25,2.25,0.0
Stage 1,5 - 10 hrs,4,Career or job relevance,To-do list or planner apps,Always,Starting tasks too late,Sometimes,3,3,2,5,4,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Stage 1,Less than 3hrs,3,Career or job relevance,I usually remember them mentally,Often,Balancing multiple courses or projects,Sometimes,3,5,2,3,4,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0
Stage 2,3 - 5 hrs,4,Career or job relevance,Notes on phone or paper,Sometimes,Starting tasks too late,Always,3,3,2,3,4,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,1.0,0.0,0.0
Stage 3,15+ hrs,4,Personal interest in the subject,I usually remember them mentally,Sometimes,Balancing multiple courses or projects,Sometimes,5,4,5,5,5,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.25,2.875,2.375,0.0
Stage 1,15+ hrs,3,Personal interest in the subject;Career or job relevance;Recommendations from friends or seniors,I usually remember them mentally,Always,Not knowing how to prioritize task,Sometimes,4,4,3,3,4,3.0,4.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,0.0,0.0,0.0
Stage 1,15+ hrs,3,Career or job relevance,I usually remember them mentally,Always,Balancing multiple courses or projects,Sometimes,4,3,2,5,4,3.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,0.0,0.0,0.0
Stage 2,3 - 5 hrs,3,Career or job relevance,I usually remember them mentally,Sometimes,Starting tasks too late,Always,3,3,3,3,4,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,0.0,0.0
Stage 2,3 - 5 hrs,5,Career or job relevance,Notes on phone or paper,Always,Starting tasks too late,Always,3,4,3,3,4,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0
Stage 1,3 - 5 hrs,3,Career or job relevance,I usually remember them mentally,Sometimes,Balancing multiple courses or projects;Starting tasks too late,Sometimes,3,3,4,4,5,3.0,3.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0
Stage 1,Less than 3hrs,4,Personal interest in the subject,I usually remember them mentally,Sometimes,Balancing multiple courses or projects,Always,4,2,4,4,4,2.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0
